00157,Akacjowa,
00393,Arciszewskiego,Krzysztofa
00393,Arciszewskiego Krzysztofa,
00393,Krzysztofa Arciszewskiego,
00432,Armii Krajowej,
00569,Baczyńskiego,Krzysztofa Kamila
00569,Baczyńskiego Krzysztofa Kamila,
00569,Krzysztofa Kamila Baczyńskiego,
00656,Bałtycka,
00666,Banacha,Stefana
00666,Banacha Stefana,
00666,Stefana Banacha,
00868,Batalionów Chłopskich,
00891,Stefana Batorego,
00891,Batorego,
00904,Bauera,Jana
00904,Bauera Jana,
00904,Jana Bauera,
01015,Bema,Józefa
01015,Bema Józefa,
01015,Józefa Bema,
01601,Bogusława X,
01681,Bohaterów Westerplatte,
01681,Westerplatte,
01742,Bolesława Chrobrego,
01742,Chrobrego,
01749,Bolesława Krzywoustego,
01749,Krzywoustego,
01815,Borchardta,Karola
01815,Borchardta Karola,
01815,Karola Borchardta,
01874,Borówkowa,
01929,Boya-Żeleńskiego,Tadeusza
01929,Boya-Żeleńskiego Tadeusza,
01929,Tadeusza Boya-Żeleńskiego,
01970,Gierymskich,Braci
01970,Braci Gierymskich,
01970,Gierymskich Braci,
01970,Braci Gierymskich,
02013,Braille'a,Ludwika
02013,Braille'a Ludwika,
02013,Ludwika Braille'a,
02123,Broniewskiego,Władysława
02123,Broniewskiego Władysława,
02123,Władysława Broniewskiego,
02123,Pl. Broniewskiego,
02276,Brzozowa,
02293,Brzóski,ks.
02293,Brzóski ks.,
02293,ks. Brzóski,
02387,Bukowa,
02561,Cecorska,
02657,Chabrowa,
02706,Chełmońskiego,Józefa
02706,Chełmońskiego Józefa,
02706,Józefa Chełmońskiego,
02736,Chłapowskiego,gen. Dezyderego
02736,Chłapowskiego gen. Dezyderego,
02736,gen. Dezyderego Chłapowskiego,
02790,Chocimska,
02849,Chopina,Fryderyka
02849,Chopina Fryderyka,
02849,Fryderyka Chopina,
02859,Chorwacka,
02974,Cicha,
03018,Cienista,
03029,Cieplińskiego,Łukasza
03029,Cieplińskiego Łukasza,
03029,Łukasza Cieplińskiego,
03098,Cisowa,
03148,Curie-Skłodowskiej,Marii
03148,Skłodowskiej,
03148,Curie-Skłodowskiej Marii,
03148,Marii Curie-Skłodowskiej,
03191,Cyprysowa,
03283,Czarnieckiego,Stefana
03283,Czarnieckiego Stefana,
03283,Stefana Czarnieckiego,
03333,Czecha,Bronisława
03333,Czecha Bronisława,
03333,Bronisława Czecha,
03639,Daszyńskiego,Ignacego
03639,Daszyńskiego Ignacego,
03639,Ignacego Daszyńskiego,
03666,Dąbrowskiego,
03691,Dąbrowskiej,Marii
03691,Dąbrowskiej Marii,
03691,Marii Dąbrowskiej,
03701,Dąbrówki,
03721,Degi,prof. Wiktora
03721,Degi prof. Wiktora,
03721,prof. Wiktora Degi,
03762,Deotymy,
03811,Dębowa,
03839,Długa,
03851,Długosza,Jana
03851,Długosza Jana,
03851,Jana Długosza,
03868,Dmowskiego,Romana
03868,Dmowskiego Romana,
03868,Romana Dmowskiego,
04102,Dominikańska,
04177,Drewniana,
04314,Drzymały,
04399,Dunikowskiego,Ksawerego
04399,Dunikowskiego Ksawerego,
04399,Ksawerego Dunikowskiego,
04405,Duńska,
04429,Dwernickiego,gen. Józefa
04429,Dwernickiego gen. Józefa,
04429,gen. Józefa Dwernickiego,
04561,Dywizjonu 303,
04833,Estońska,
04863,Fabryczna,
04889,Fałata,Juliana
04889,Fałata Juliana,
04889,Juliana Fałata,
04970,Fiedlera,Arkadego
04970,Fiedlera Arkadego,
04970,Arkadego Fiedlera,
05009,Filmowa,
05023,Fińska,
05027,Fiołkowa,
05265,Gajowa,
05300,Gałczyńskiego,Konstantego Ildefonsa
05300,Gałczyńskiego Konstantego Ildefonsa,
05300,Konstantego Ildefonsa Gałczyńskiego,
05345,Garncarska,
05431,Gdańska,
05441,Gdyńska,
05610,Głogowa,
05627,Głowackiego,Bartosza
05627,Głowackiego Bartosza,
05627,Bartosza Głowackiego,
05948,Górna,
06052,Grabskiego,Władysława
06052,Grabskiego Władysława,
06052,Władysława Grabskiego,
06075,Graniczna,
06083,Grażyny,
06163,Grodzka,
06206,Grottgera,Artura
06206,Grottgera Artura,
06206,Artura Grottgera,
06219,Grucy,prof. Adama
06219,Grucy prof. Adama,
06219,prof. Adama Grucy,
06260,Grunwaldzka,
06289,Gryfitki,Anny
06289,Anny Gryfitki,
06289,Gryfitki Anny,
06289,Anny Gryfitki,
06341,Grzybowa,
06602,Henryka Pobożnego,
06602,H. Pobożnego,
06602,Pobożnego,
06705,Hołdu Pruskiego,
06776,Hubalczyków,
06944,Iwaszkiewicza,Jarosława
06944,Iwaszkiewicza Jarosława,
06944,Jarosława Iwaszkiewicza,
07029,Jagiellońska,
07097,Jałowcowa,
07117,Jana Kazimierza,
07117,Kazimierza,
07123,Jana Pawła II,
07240,Jaracza,Stefana
07240,Jaracza Stefana,
07240,Stefana Jaracza,
07290,Jarzębinowa,
07335,Jasna,
07353,Jastruna,Mieczysława
07353,Jastruna Mieczysława,
07353,Mieczysława Jastruna,
07380,Jaśminowa,
07394,Jaworowa,
07435,Jedności Narodowej,
07506,Jesionowa,
07582,Jodłowa,
07606,Jordana,Henryka
07606,Jordana Henryka,
07606,Henryka Jordana,
07759,Kadłubka,Wincentego
07759,Kadłubka Wincentego,
07759,Wincentego Kadłubka,
07804,Kalinowa,
08153,Kasprowicza,Jana
08153,Kasprowicza Jana,
08153,Jana Kasprowicza,
08171,Kasztanowa,
08183,Kaszubska,
08396,Kiepury,Jana
08396,Kiepury Jana,
08396,Jana Kiepury,
08435,Kilińskiego,Jana
08435,Kilińskiego Jana,
08435,Jana Kilińskiego,
08574,Klonowa,
08664,Kniaziewicza,Karola
08664,Kniaziewicza Karola,
08664,Karola Kniaziewicza,
08728,Kochanowskiego,Jana
08728,Kochanowskiego Jana,
08728,Jana Kochanowskiego,
09000,Kołłątaja,
09009,Kołobrzeska,
09111,Konarskiego,Stanisława
09111,Konarskiego Stanisława,
09111,Stanisława Konarskiego,
09186,Konopnickiej,Marii
09186,Konopnickiej Marii,
09186,Marii Konopnickiej,
09223,Konwaliowa,
09282,Kopernika,Mikołaja
09282,Kopernika Mikołaja,
09282,Mikołaja Kopernika,
09357,Korfantego,Wojciecha
09357,Korfantego Wojciecha,
09357,Wojciecha Korfantego,
09463,Kossaka,Juliusza
09463,Kossaka Juliusza,
09463,Juliusza Kossaka,
09503,Kosynierów Gdyńskich,
09509,Koszalińska,
09582,Kościuszki,Tadeusza
09582,Kościuszki Tadeusza,
09582,Tadeusza Kościuszki,
09605,Kotarbińskiego,prof. Tadeusza
09605,Kotarbińskiego prof. Tadeusza,
09605,prof. Tadeusza Kotarbińskiego,
09665,Kowalska,
09719,Kozietulskiego,Jana
09719,Kozietulskiego Jana,
09719,Jana Kozietulskiego,
09782,Krajewskiego,Rafała
09782,Krajewskiego Rafała,
09782,Rafała Krajewskiego,
09808,Krakusa,
09848,Krasińskiego,Zygmunta
09848,Krasińskiego Zygmunta,
09848,Zygmunta Krasińskiego,
