fid,mslink,miejscowosc,kod,poczta,przedr,przedrostek,ulica,ulica_pelna,nr_adr,nr_adr2,dzialka_id,budynek_id,kat,just,teryt_numer,field_2
3178,119311,Słupsk,76-200,Słupsk,ul.,ulica,Curie-Skłodowskiej,Marii Curie-Skłodowskiej,4,,,,116,uc,03148--4,17
3182,119318,Słupsk,76-200,Słupsk,ul.,ulica,Curie-Skłodowskiej,Marii Curie-Skłodowskiej,13,,,,307,uc,03148--13,15
3185,119322,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,21,,,,67,uc,19866--21,34
3187,119324,Słupsk,76-200,Słupsk,ul.,ulica,Curie-Skłodowskiej,Marii Curie-Skłodowskiej,12,,,,309,uc,03148--12,17
3188,119327,Słupsk,76-200,Słupsk,ul.,ulica,Curie-Skłodowskiej,Marii Curie-Skłodowskiej,11,,,,294,uc,03148--11,11
3189,119330,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,19,,,,66,uc,19866--19,2
3191,119334,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,18,,,,63,uc,19866--18,10
3192,119336,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,1,,,,242,uc,19866--1,2
3194,119339,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,17,,,,66,uc,19866--17,12
3195,119340,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,2,,,,243,uc,19866--2,12
3196,119344,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,16,,,,65,uc,19866--16,28
3197,119348,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,3,,,,246,uc,19866--3,16
3199,119350,Słupsk,76-200,Słupsk,ul.,ulica,Gdańska,Gdańska,4,,,,191,uc,05431--4,4
3201,119352,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,4,,,,239,uc,19866--4,10
3203,119359,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,5,,,,251,uc,19866--5,20
3206,119367,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,6,,,,245,uc,19866--6,26
3209,119372,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,7,,,,251,uc,19866--7,22
3214,119386,Słupsk,76-200,Słupsk,ul.,ulica,Na Wzgórzu,Na Wzgórzu,1,,,,222,uc,13706--1,41
3226,119409,Słupsk,76-200,Słupsk,ul.,ulica,Gdańska,Gdańska,5,,,,187,uc,05431--5,1
3228,119415,Słupsk,76-200,Słupsk,ul.,ulica,Na Wzgórzu,Na Wzgórzu,22,,,,0,uc,13706--22,7
3230,119418,Słupsk,76-200,Słupsk,ul.,ulica,Na Wzgórzu,Na Wzgórzu,7,,,,179,uc,13706--7,14
3231,119421,Słupsk,76-200,Słupsk,ul.,ulica,Gdańska,Gdańska,55,,,,338,uc,05431--55,9
3232,119424,Słupsk,76-200,Słupsk,ul.,ulica,Gdańska,Gdańska,7,,,,189,uc,05431--7,23
3233,119425,Słupsk,76-200,Słupsk,ul.,ulica,Na Wzgórzu,Na Wzgórzu,9,,,,179,uc,13706--9,8
3234,119426,Słupsk,76-200,Słupsk,ul.,ulica,Gdańska,Gdańska,54,,,,9,uc,05431--54,4
3235,119427,Słupsk,76-200,Słupsk,ul.,ulica,Na Wzgórzu,Na Wzgórzu,18,,,,17,uc,13706--18,3
3238,119433,Słupsk,76-200,Słupsk,ul.,ulica,Lotha,Prof. Lotha,1,,,,101,uc,11265--1,16
3239,119435,Słupsk,76-200,Słupsk,ul.,ulica,Gdańska,Gdańska,9,,,,189,uc,05431--9,31
3240,119438,Słupsk,76-200,Słupsk,ul.,ulica,Lotha,Prof. Lotha,3,,,,131,uc,11265--3,5
3241,119441,Słupsk,76-200,Słupsk,ul.,ulica,Gdańska,Gdańska,10,,,,186,uc,05431--10,32
3242,119442,Słupsk,76-200,Słupsk,ul.,ulica,Lotha,Prof. Lotha,2,,,,84,uc,11265--2,18
3246,119905,Słupsk,76-200,Słupsk,ul.,ulica,Obrońców Wybrzeża,Obrońców Wybrzeża,7,,,,27,uc,14663--7,6
3249,120563,Słupsk,76-200,Słupsk,ul.,ulica,Lotha,Prof. Lotha,21,,,,281,uc,11265--21,4
3253,120813,Słupsk,76-200,Słupsk,ul.,ulica,Kilińskiego,Jana Kilińskiego,46,,,,19,uc,08435--46,25
3276,122053,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,4,,,,356,uc,24628--4,12
3293,122523,Słupsk,76-200,Słupsk,ul.,ulica,Lotha,Prof. Lotha,19,,,,281,uc,11265--19,1
3294,122524,Słupsk,76-200,Słupsk,ul.,ulica,Lotha,Prof. Lotha,25,,,,282,uc,11265--25,13
3295,122526,Słupsk,76-200,Słupsk,ul.,ulica,Lotha,Prof. Lotha,25A,,,,281,uc,11265--25A,10
3296,122527,Słupsk,76-200,Słupsk,ul.,ulica,Lelewela,Joachima Lelewela,1,,,,189,uc,10793--1,8
3303,122612,Słupsk,76-200,Słupsk,ul.,ulica,Lotha,Prof. Lotha,20,,,,283,uc,11265--20,7
3304,122634,Słupsk,76-200,Słupsk,ul.,ulica,Jaracza,Stefana Jaracza,15,,,,113,uc,07240--15,5
3314,122871,Słupsk,76-200,Słupsk,ul.,ulica,Na Wzgórzu,Na Wzgórzu,8,,,,176,uc,13706--8,3
3331,123502,Słupsk,76-200,Słupsk,ul.,ulica,Szymanowskiego,Karola Szymanowskiego,8A,,,,316,uc,22238--8A,3
3333,123514,Słupsk,76-200,Słupsk,ul.,ulica,Kilińskiego,Jana Kilińskiego,47A,,,,17,uc,08435--47A,26
3346,123717,Słupsk,76-200,Słupsk,ul.,ulica,Solskiego,Ludwika Solskiego,16,,,,84,uc,20551--16,17
3348,123728,Słupsk,76-200,Słupsk,ul.,ulica,Lelewela,Joachima Lelewela,53,,,,10,uc,10793--53,13
3352,123788,Słupsk,76-200,Słupsk,ul.,ulica,Konopnickiej,Marii Konopnickiej,13,,,,356,uc,09186--13,15
3370,124307,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,8,,,,246,uc,19866--8,10
3378,124507,Słupsk,76-200,Słupsk,ul.,ulica,Dominikańska,Dominikańska,1,,,,247,uc,04102--1,2
3379,124509,Słupsk,76-200,Słupsk,ul.,ulica,Dominikańska,Dominikańska,2,,,,215,uc,04102--2,3
3407,125315,Słupsk,76-200,Słupsk,ul.,ulica,Partyzantów,Partyzantów,23,,,,283,uc,15733--23,6
3413,125436,Słupsk,76-200,Słupsk,ul.,ulica,Mickiewicza,Adama Mickiewicza,12,,,,266,uc,12740--12,21
3414,125437,Słupsk,76-200,Słupsk,ul.,ulica,Mickiewicza,Adama Mickiewicza,13,,,,266,uc,12740--13,19
3415,125439,Słupsk,76-200,Słupsk,ul.,ulica,Mickiewicza,Adama Mickiewicza,14,,,,266,uc,12740--14,16
3417,125530,Słupsk,76-200,Słupsk,ul.,ulica,Paderewskiego,Ignacego Jana Paderewskiego,16,,,,140,uc,15532--16,18
3418,125531,Słupsk,76-200,Słupsk,ul.,ulica,Paderewskiego,Ignacego Jana Paderewskiego,17,,,,140,uc,15532--17,10
3422,125880,Słupsk,76-200,Słupsk,ul.,ulica,Piastów,Piastów,4A,,,,108,uc,16057--4A,2
3436,127059,Słupsk,76-200,Słupsk,ul.,ulica,Niemcewicza,Juliana Niemcewicza,8,,,,254,uc,27319--8,24
3437,127085,Słupsk,76-200,Słupsk,ul.,ulica,Niemcewicza,Juliana Niemcewicza,2,,,,255,uc,27319--2,31
3438,127100,Słupsk,76-200,Słupsk,ul.,ulica,Małachowskiego,Stanisława Małachowskiego,32,,,,75,uc,12130--32,38
3439,127114,Słupsk,76-200,Słupsk,ul.,ulica,Wolności,Wolności,15,,,,344,uc,24687--15,27
3440,127245,Słupsk,76-200,Słupsk,ul.,ulica,Kopernika,Mikołaja Kopernika,35,,,,82,uc,09282--35,5
3441,127319,Słupsk,76-200,Słupsk,ul.,ulica,Wolności,Wolności,32,,,,165,uc,24687--32,21
3442,127325,Słupsk,76-200,Słupsk,ul.,ulica,Wolności,Wolności,31,,,,165,uc,24687--31,30
3443,127365,Słupsk,76-200,Słupsk,ul.,ulica,Wileńska,Wileńska,21,,,,87,uc,24289--21,21
3444,127377,Słupsk,76-200,Słupsk,ul.,ulica,Wolności,Wolności,24,,,,164,uc,24687--24,14
3445,127378,Słupsk,76-200,Słupsk,ul.,ulica,Wolności,Wolności,25,,,,164,uc,24687--25,14
3446,127409,Słupsk,76-200,Słupsk,ul.,ulica,Wileńska,Wileńska,24,,,,86,uc,24289--24,36
3447,127424,Słupsk,76-200,Słupsk,ul.,ulica,Wileńska,Wileńska,26,,,,86,uc,24289--26,26
3448,127433,Słupsk,76-200,Słupsk,ul.,ulica,Wileńska,Wileńska,27,,,,86,uc,24289--27,38
3449,127470,Słupsk,76-200,Słupsk,ul.,ulica,Mickiewicza,Adama Mickiewicza,38,,,,87,uc,12740--38,34
3450,127593,Słupsk,76-200,Słupsk,pl.,plac,Broniewskiego,Władysława Broniewskiego,3,,,,83,uc,02123--3,2
3451,127655,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,16,,,,357,uc,24628--16,7
3452,127666,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,17,,,,358,uc,24628--17,25
3453,127673,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,18,,,,357,uc,24628--18,14
3454,127683,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,19,,,,0,uc,24628--19,30
3455,127698,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,21,,,,357,uc,24628--21,10
3456,127714,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,22,,,,357,uc,24628--22,25
3457,127721,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,23,,,,356,uc,24628--23,6
3458,127753,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,25,,,,357,uc,24628--25,38
3459,127865,Słupsk,76-200,Słupsk,ul.,ulica,Wyspiańskiego,Stanisława Wyspiańskiego,9,,,,176,uc,25084--9,44
3460,127875,Słupsk,76-200,Słupsk,ul.,ulica,Wyspiańskiego,Stanisława Wyspiańskiego,8,,,,177,uc,25084--8,31
3461,127939,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,6,,,,357,uc,24628--6,16
3463,127955,Słupsk,76-200,Słupsk,ul.,ulica,Krasińskiego,Zygmunta Krasińskiego,15,,,,178,uc,09848--15,44
3464,127981,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,8,,,,357,uc,24628--8,18
3465,128042,Słupsk,76-200,Słupsk,ul.,ulica,Mickiewicza,Adama Mickiewicza,18,,,,267,uc,12740--18,7
3466,128108,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,51,,,,177,uc,24628--51,13
3467,128146,Słupsk,76-200,Słupsk,ul.,ulica,Tuwima,Juliana Tuwima,5,,,,16,uc,23196--5,16
3468,128163,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,48,,,,177,uc,24628--48,10
3469,128208,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,47,,,,175,uc,24628--47,10
3470,128210,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,46,,,,177,uc,24628--46,2
3471,128236,Słupsk,76-200,Słupsk,ul.,ulica,Mickiewicza,Adama Mickiewicza,8,,,,267,uc,12740--8,17
3472,128246,Słupsk,76-200,Słupsk,ul.,ulica,Mickiewicza,Adama Mickiewicza,6,,,,267,uc,12740--6,13
3473,128322,Słupsk,76-200,Słupsk,ul.,ulica,Staszica,Stanisława Staszica,14,,,,204,uc,21071--14,3
3474,128381,Słupsk,76-200,Słupsk,,inna,Sienkiewicza,Henryka Sienkiewicza,21,,,,233,uc,19831--21,10
3475,128526,Słupsk,76-200,Słupsk,ul.,ulica,Kopernika,Mikołaja Kopernika,2,,,,288,uc,09282--2,23
3476,128529,Słupsk,76-200,Słupsk,ul.,ulica,Kilińskiego,Jana Kilińskiego,48,,,,20,uc,08435--48,22
3477,128530,Słupsk,76-200,Słupsk,ul.,ulica,Kilińskiego,Jana Kilińskiego,49,,,,20,uc,08435--49,16
3478,128601,Słupsk,76-200,Słupsk,ul.,ulica,Kilińskiego,Jana Kilińskiego,35,,,,14,uc,08435--35,40
3479,128634,Słupsk,76-200,Słupsk,ul.,ulica,Kilińskiego,Jana Kilińskiego,29,,,,16,uc,08435--29,1
3480,128799,Słupsk,76-200,Słupsk,ul.,ulica,Kilińskiego,Jana Kilińskiego,25,,,,195,uc,08435--25,9
3481,128810,Słupsk,76-200,Słupsk,ul.,ulica,Partyzantów,Partyzantów,30,,,,255,uc,15733--30,10
3482,128841,Słupsk,76-200,Słupsk,ul.,ulica,Podgórna,Podgórna,6,,,,193,uc,16742--6,60
3483,128844,Słupsk,76-200,Słupsk,ul.,ulica,Jagiełły,Władysława Jagiełły,2,,,,331,uc,24494--2,4
3484,128847,Słupsk,76-200,Słupsk,ul.,ulica,Podgórna,Podgórna,7,,,,192,uc,16742--7,10
3485,128849,Słupsk,76-200,Słupsk,ul.,ulica,Podgórna,Podgórna,8,,,,192,uc,16742--8,5
3486,128895,Słupsk,76-200,Słupsk,ul.,ulica,Długosza,Jana Długosza,19,,,,15,uc,03851--19,13
3487,128896,Słupsk,76-200,Słupsk,ul.,ulica,Długosza,Jana Długosza,20,,,,15,uc,03851--20,11
3488,128907,Słupsk,76-200,Słupsk,ul.,ulica,Długosza,Jana Długosza,16,,,,16,uc,03851--16,25
3489,128914,Słupsk,76-200,Słupsk,ul.,ulica,Długosza,Jana Długosza,15,,,,15,uc,03851--15,27
3490,128937,Słupsk,76-200,Słupsk,ul.,ulica,Długosza,Jana Długosza,2,,,,197,uc,03851--2,3
3491,128981,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,35,,,,15,uc,00432--35,28
3492,128991,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,34,,,,14,uc,00432--34,26
3493,129000,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,33,,,,15,uc,00432--33,24
3494,129008,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,32,,,,14,uc,00432--32,8
3495,129020,Słupsk,76-200,Słupsk,ul.,ulica,Długosza,Jana Długosza,10,,,,196,uc,03851--10,13
3496,129040,Słupsk,76-200,Słupsk,ul.,ulica,Podgórna,Podgórna,14,,,,194,uc,16742--14,13
3497,129061,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,28,,,,14,uc,00432--28,4
3498,129062,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,29,,,,14,uc,00432--29,2
3500,129080,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,40,,,,177,uc,24628--40,30
3501,129086,Słupsk,76-200,Słupsk,ul.,ulica,Konopnickiej,Marii Konopnickiej,10,,,,357,uc,09186--10,10
3502,129087,Słupsk,76-200,Słupsk,ul.,ulica,Konopnickiej,Marii Konopnickiej,11,,,,357,uc,09186--11,2
3504,129105,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,37,,,,177,uc,24628--37,13
3505,129125,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,31,,,,176,uc,24628--31,25
3506,129144,Słupsk,76-200,Słupsk,ul.,ulica,Konopnickiej,Marii Konopnickiej,26,,,,177,uc,09186--26,22
3507,129145,Słupsk,76-200,Słupsk,ul.,ulica,Konopnickiej,Marii Konopnickiej,27,,,,177,uc,09186--27,27
3509,129219,Słupsk,76-200,Słupsk,ul.,ulica,Kaszubska,Kaszubska,7,,,,113,uc,08183--7,7
3510,129249,Słupsk,76-200,Słupsk,ul.,ulica,Wojska Polskiego,Wojska Polskiego,7,,,,356,uc,24628--7,2
3511,129529,Słupsk,76-200,Słupsk,ul.,ulica,Partyzantów,Partyzantów,18,,,,288,uc,15733--18,15
3512,129591,Słupsk,76-200,Słupsk,ul.,ulica,Partyzantów,Partyzantów,14,,,,260,uc,15733--14,2
3515,129844,Słupsk,76-200,Słupsk,ul.,ulica,Paderewskiego,Ignacego Jana Paderewskiego,24,,,,137,uc,15532--24,10
3516,129866,Słupsk,76-200,Słupsk,ul.,ulica,Sobieskiego,Jana Sobieskiego,21,,,,262,uc,20427--21,16
3517,129867,Słupsk,76-200,Słupsk,ul.,ulica,Sobieskiego,Jana Sobieskiego,19,,,,262,uc,20427--19,6
3544,130944,Słupsk,76-200,Słupsk,ul.,ulica,Młyńska,Młyńska,4,,,,306,uc,13132--4,1
3562,131618,Słupsk,76-200,Słupsk,ul.,ulica,Lelewela,Joachima Lelewela,56,,,,11,uc,10793--56,13
3563,131619,Słupsk,76-200,Słupsk,ul.,ulica,Lelewela,Joachima Lelewela,57,,,,11,uc,10793--57,16
3575,131901,Słupsk,76-200,Słupsk,ul.,ulica,Szczecińska,Szczecińska,8,,,,109,uc,21805--8,18
3585,132058,Słupsk,76-200,Słupsk,ul.,ulica,Sierpinka,Sierpinka,7A,,,,248,uc,19866--7A,2
3586,132076,Słupsk,76-200,Słupsk,ul.,ulica,Sobieskiego,Jana Sobieskiego,20,,,,262,uc,20427--20,21
3588,132085,Słupsk,76-200,Słupsk,ul.,ulica,Wileńska,Wileńska,32B,,,,267,uc,24289--32B,4
3594,132121,Słupsk,76-200,Słupsk,ul.,ulica,Mickiewicza,Adama Mickiewicza,31,,,,87,uc,12740--31,22
3601,132148,Słupsk,76-200,Słupsk,ul.,ulica,Szkolna,Szkolna,2,,,,107,uc,21970--2,16
3602,132173,Słupsk,76-200,Słupsk,ul.,ulica,Partyzantów,Partyzantów,32,,,,289,uc,15733--32,13
3607,132273,Słupsk,76-200,Słupsk,ul.,ulica,Małachowskiego,Stanisława Małachowskiego,18,,,,45,uc,12130--18,55
3662,136177,Słupsk,76-200,Słupsk,ul.,ulica,Żeromskiego,Stefana Żeromskiego,3A,,,,357,uc,26469--3A,3
3663,136178,Słupsk,76-200,Słupsk,ul.,ulica,Żeromskiego,Stefana Żeromskiego,3B,,,,357,uc,26469--3B,3
3674,136555,Słupsk,76-200,Słupsk,ul.,ulica,Niemcewicza,Juliana Niemcewicza,1,,,,254,uc,27319--1,11
3685,136752,Słupsk,76-200,Słupsk,ul.,ulica,Deotymy,Deotymy,23,,,,185,uc,03762--23,25
3724,137597,Słupsk,76-200,Słupsk,ul.,ulica,Psie Pole,Psie Pole,3,,,,170,uc,18024--3,3
3727,147910,Słupsk,76-200,Słupsk,ul.,ulica,Curie-Skłodowskiej,Marii Curie-Skłodowskiej,9,,,,97,uc,03148--9,54
3750,151425,Słupsk,76-200,Słupsk,ul.,ulica,Kopernika,Mikołaja Kopernika,7,,,,282,uc,09282--7,14
3751,151438,Słupsk,76-200,Słupsk,ul.,ulica,Kopernika,Mikołaja Kopernika,16,,,,267,uc,09282--16,8
4132,210300,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,19C,,,,48,uc,19142--19C,19
4143,210701,Słupsk,76-200,Słupsk,ul.,ulica,Murarska,Murarska,3,,,,58,uc,13486--3,11
4256,231435,Słupsk,76-200,Słupsk,ul.,ulica,Zamenhofa,Ludwika Zamenhofa,1,,,,143,uc,25536--1,9
4257,231438,Słupsk,76-200,Słupsk,ul.,ulica,Zamenhofa,Ludwika Zamenhofa,2,,,,143,uc,25536--2,11
4258,231439,Słupsk,76-200,Słupsk,ul.,ulica,Zamenhofa,Ludwika Zamenhofa,3,,,,145,uc,25536--3,18
4259,231441,Słupsk,76-200,Słupsk,ul.,ulica,Zamenhofa,Ludwika Zamenhofa,4,,,,119,uc,25536--4,18
4260,231452,Słupsk,76-200,Słupsk,ul.,ulica,Zamenhofa,Ludwika Zamenhofa,5,,,,114,uc,25536--5,93
4303,232044,Słupsk,76-200,Słupsk,ul.,ulica,Na Wzgórzu,Na Wzgórzu,8A,,,,167,uc,13706--8A,11
4304,232046,Słupsk,76-200,Słupsk,ul.,ulica,Kopernika,Mikołaja Kopernika,34A,,,,80,uc,09282--34A,15
4311,249326,Słupsk,76-200,Słupsk,ul.,ulica,Deotymy,Deotymy,24,,,,184,uc,03762--24,15
4312,249327,Słupsk,76-200,Słupsk,ul.,ulica,Deotymy,Deotymy,25,,,,185,uc,03762--25,24
4324,332644,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,30,,,,263,uc,03839--30,44
4325,332646,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,19D,,,,48,uc,19142--19D,25
4357,332835,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,19B,,,,48,uc,19142--19B,13
4373,332912,Słupsk,76-200,Słupsk,ul.,ulica,Ogrodowa,Ogrodowa,11,,,,283,uc,14834--11,9
4376,332917,Słupsk,76-200,Słupsk,ul.,ulica,Jaracza,Stefana Jaracza,19,,,,288,uc,07240--19,16
4380,332993,Słupsk,76-200,Słupsk,ul.,ulica,Płowiecka,Płowiecka,5,,,,190,uc,16531--5,19
,,,,,,,,,,,,,,,,18599
