fid,mslink,miejscowosc,kod,poczta,przedr,przedrostek,ulica,ulica_pelna,nr_adr,nr_adr2,dzialka_id,budynek_id,kat,just,teryt_numer,field_2
2963,118975,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,8,,,,104,uc,03839--8,7
2964,118977,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,43,,,,286,uc,03839--43,17
2965,118978,Słupsk,76-200,Słupsk,ul.,ulica,Paderewskiego,Ignacego Jana Paderewskiego,26,,,,319,uc,15532--26,23
2966,118979,Słupsk,76-200,Słupsk,ul.,ulica,Sygietyńskiego,Tadeusza Sygietyńskiego,13,,,,176,uc,21654--13,10
2967,118981,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,9,,,,107,uc,03839--9,2
2968,118982,Słupsk,76-200,Słupsk,ul.,ulica,Polna,Polna,1,,,,190,uc,17011--1,8
2969,118983,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,11,,,,103,uc,03839--11,2
2970,118984,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,14,,,,99,uc,03839--14,1
2971,118985,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,24,,,,85,uc,03839--24,13
2972,118986,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,23,,,,80,uc,03839--23,37
2973,118987,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,15,,,,98,uc,03839--15,3
2974,118988,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,13,,,,98,uc,03839--13,11
2975,118989,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,17,,,,102,uc,03839--17,39
2976,118990,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,22,,,,83,uc,03839--22,15
2977,118991,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,18,,,,89,uc,03839--18,47
2978,118992,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,21,,,,83,uc,03839--21,39
2979,118993,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,40,,,,286,uc,03839--40,22
2980,118994,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,20,,,,90,uc,03839--20,29
